0,1,2,3,4,5,6,7,8,9
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/12,15:00:18,0000000507529215,DEMAND,0000000507529215
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/12 15:00:00,6770,0,0,2026/03/12 15:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/12 15:00:00,6734,0,0,2026/03/12 15:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/12 15:00:00,609,0,0,2026/03/12 15:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/12 15:00:00,886,0,0,2026/03/12 15:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/12 15:00:00,4157,0,0,2026/03/12 15:00:01
C,END OF REPORT,8,,,,,,,
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/08,18:00:19,0000000506930526,DEMAND,0000000506930526
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/08 18:00:00,8606,0,0,2026/03/08 18:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/08 18:00:00,7899,0,0,2026/03/08 18:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/08 18:00:00,940,0,0,2026/03/08 18:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/08 18:00:00,1031,0,0,2026/03/08 18:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/08 18:00:00,5154,0,0,2026/03/08 18:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/09,05:00:38,0000000506995329,DEMAND,0000000506995329
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/09 05:00:00,6896,0,0,2026/03/09 05:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/09 05:00:00,6038,0,0,2026/03/09 05:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/09 05:00:00,1120,0,0,2026/03/09 05:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/09 05:00:00,948,0,0,2026/03/09 05:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/09 05:00:00,4183,0,0,2026/03/09 05:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/20,13:00:18,0000000508818154,DEMAND,0000000508818154
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/20 13:00:00,6896,0,0,2026/03/20 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/20 13:00:00,5610,0,0,2026/03/20 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/20 13:00:00,475,0,0,2026/03/20 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/20 13:00:00,816,0,0,2026/03/20 13:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/20 13:00:00,3459,0,0,2026/03/20 13:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/21,22:30:17,0000000509054709,DEMAND,0000000509054709
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/21 22:30:00,7636,0,0,2026/03/21 22:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/21 22:30:00,6752,0,0,2026/03/21 22:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/21 22:30:00,1360,0,0,2026/03/21 22:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/21 22:30:00,926,0,0,2026/03/21 22:30:02
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/21 22:30:00,4692,0,0,2026/03/21 22:30:02
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/14,00:00:22,0000000507748218,DEMAND,0000000507748218
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/14 00:00:00,7002,0,0,2026/03/14 00:00:04
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/14 00:00:00,6587,0,0,2026/03/14 00:00:04
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/14 00:00:00,1349,0,0,2026/03/14 00:00:04
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/14 00:00:00,900,0,0,2026/03/14 00:00:04
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/14 00:00:00,4894,0,0,2026/03/14 00:00:04
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/14,14:00:22,0000000507840281,DEMAND,0000000507840281
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/14 14:00:00,4478,0,0,2026/03/14 14:00:04
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/14 14:00:00,4823,0,0,2026/03/14 14:00:04
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/14 14:00:00,71,0,0,2026/03/14 14:00:04
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/14 14:00:00,764,0,0,2026/03/14 14:00:04
