SETTLEMENTDATE,REGIONID,TOTALDEMAND
2026-03-09 00:00:00,VIC1,4681
2026-03-09 00:30:00,VIC1,4490
2026-03-09 01:00:00,VIC1,4392
2026-03-09 01:30:00,VIC1,4302
2026-03-09 02:00:00,VIC1,4211
2026-03-09 02:30:00,VIC1,4121
2026-03-09 03:00:00,VIC1,4082
2026-03-09 03:30:00,VIC1,4088
2026-03-09 04:00:00,VIC1,4047
2026-03-09 04:30:00,VIC1,4145
2026-03-09 05:00:00,VIC1,4183
2026-03-09 05:30:00,VIC1,4277
2026-03-09 06:00:00,VIC1,4379
2026-03-09 06:30:00,VIC1,4505
2026-03-09 07:00:00,VIC1,4473
2026-03-09 07:30:00,VIC1,4303
2026-03-09 08:00:00,VIC1,4185
2026-03-09 08:30:00,VIC1,3976
2026-03-09 09:00:00,VIC1,3669
2026-03-09 09:30:00,VIC1,3415
2026-03-09 10:00:00,VIC1,3127
2026-03-09 10:30:00,VIC1,3034
2026-03-09 11:00:00,VIC1,2897
2026-03-09 11:30:00,VIC1,2846
2026-03-09 12:00:00,VIC1,2886
2026-03-09 12:30:00,VIC1,3012
2026-03-09 13:00:00,VIC1,3185
2026-03-09 13:30:00,VIC1,3461
2026-03-09 14:00:00,VIC1,3691
2026-03-09 14:30:00,VIC1,3987
2026-03-09 15:00:00,VIC1,4143
2026-03-09 15:30:00,VIC1,4461
2026-03-09 16:00:00,VIC1,4981
2026-03-09 16:30:00,VIC1,5340
2026-03-09 17:00:00,VIC1,5599
2026-03-09 17:30:00,VIC1,5784
2026-03-09 18:00:00,VIC1,5991
2026-03-09 18:30:00,VIC1,5990
2026-03-09 19:00:00,VIC1,5947
2026-03-09 19:30:00,VIC1,5815
2026-03-09 20:00:00,VIC1,5629
2026-03-09 20:30:00,VIC1,5476
2026-03-09 21:00:00,VIC1,5298
2026-03-09 21:30:00,VIC1,5160
2026-03-09 22:00:00,VIC1,4950
2026-03-09 22:30:00,VIC1,4813
2026-03-09 23:00:00,VIC1,4734
2026-03-09 23:30:00,VIC1,4810
2026-03-10 00:00:00,VIC1,4793
2026-03-10 00:30:00,VIC1,4636
2026-03-10 01:00:00,VIC1,4523
2026-03-10 01:30:00,VIC1,4450
2026-03-10 02:00:00,VIC1,4370
2026-03-10 02:30:00,VIC1,4327
2026-03-10 03:00:00,VIC1,4284
2026-03-10 03:30:00,VIC1,4308
2026-03-10 04:00:00,VIC1,4346
2026-03-10 04:30:00,VIC1,4449
2026-03-10 05:00:00,VIC1,4586
2026-03-10 05:30:00,VIC1,4882
2026-03-10 06:00:00,VIC1,5198
2026-03-10 06:30:00,VIC1,5570
