REGIONID,SETTLEMENTDATE,RRP,TOTALDEMAND,PV_MW,NET_DEMAND,DATE,HOUR,MINUTE
VIC1,2026-03-09 00:00:00,61.87359166666667,4681,0.0,4681.0,2026-03-09,0,0
VIC1,2026-03-09 00:30:00,60.99866333333333,4490,0.0,4490.0,2026-03-09,0,30
VIC1,2026-03-09 01:00:00,65.790635,4392,0.0,4392.0,2026-03-09,1,0
VIC1,2026-03-09 01:30:00,67.64352333333333,4302,0.0,4302.0,2026-03-09,1,30
VIC1,2026-03-09 02:00:00,63.400825,4211,0.0,4211.0,2026-03-09,2,0
VIC1,2026-03-09 02:30:00,61.631211666666665,4121,0.0,4121.0,2026-03-09,2,30
VIC1,2026-03-09 03:00:00,68.356165,4082,0.0,4082.0,2026-03-09,3,0
VIC1,2026-03-09 03:30:00,70.515835,4088,0.0,4088.0,2026-03-09,3,30
VIC1,2026-03-09 04:00:00,71.72047333333335,4047,0.0,4047.0,2026-03-09,4,0
VIC1,2026-03-09 04:30:00,72.18209,4145,0.0,4145.0,2026-03-09,4,30
VIC1,2026-03-09 05:00:00,74.38015666666666,4183,0.0,4183.0,2026-03-09,5,0
VIC1,2026-03-09 05:30:00,73.14,4277,0.0,4277.0,2026-03-09,5,30
VIC1,2026-03-09 06:00:00,56.84890333333333,4379,0.0,4379.0,2026-03-09,6,0
VIC1,2026-03-09 06:30:00,72.22728,4505,75.347,4429.653,2026-03-09,6,30
VIC1,2026-03-09 07:00:00,44.925828333333335,4473,332.289,4140.711,2026-03-09,7,0
VIC1,2026-03-09 07:30:00,-18.24926,4303,729.339,3573.661,2026-03-09,7,30
VIC1,2026-03-09 08:00:00,-22.895881666666668,4185,1181.132,3003.868,2026-03-09,8,0
VIC1,2026-03-09 08:30:00,-12.188031666666667,3976,1666.704,2309.2960000000003,2026-03-09,8,30
VIC1,2026-03-09 09:00:00,-11.981666666666667,3669,2134.493,1534.507,2026-03-09,9,0
VIC1,2026-03-09 09:30:00,-13.278333333333334,3415,2548.374,866.6260000000002,2026-03-09,9,30
