SETTLEMENTDATE,REGIONID,RRP
2026-03-09 00:00:00,VIC1,60.22447
2026-03-09 00:05:00,VIC1,59.78197
2026-03-09 00:10:00,VIC1,72.69
2026-03-09 00:15:00,VIC1,60.50989
2026-03-09 00:20:00,VIC1,55.96
2026-03-09 00:25:00,VIC1,62.07522
2026-03-09 00:30:00,VIC1,60.37253
2026-03-09 00:35:00,VIC1,59.56307
2026-03-09 00:40:00,VIC1,61.0346
2026-03-09 00:45:00,VIC1,60.62365
2026-03-09 00:50:00,VIC1,64.74025
2026-03-09 00:55:00,VIC1,59.65788
2026-03-09 01:00:00,VIC1,61.99646
2026-03-09 01:05:00,VIC1,61.89971
2026-03-09 01:10:00,VIC1,61.30423
2026-03-09 01:15:00,VIC1,72.67
2026-03-09 01:20:00,VIC1,62.19341
2026-03-09 01:25:00,VIC1,74.68
2026-03-09 01:30:00,VIC1,70.19011
2026-03-09 01:35:00,VIC1,59.35423
2026-03-09 01:40:00,VIC1,76.84553
2026-03-09 01:45:00,VIC1,64.80494
2026-03-09 01:50:00,VIC1,71.02012
2026-03-09 01:55:00,VIC1,63.64621
2026-03-09 02:00:00,VIC1,62.92845
2026-03-09 02:05:00,VIC1,63.86407
2026-03-09 02:10:00,VIC1,65.1814
2026-03-09 02:15:00,VIC1,54.78157
2026-03-09 02:20:00,VIC1,64.14403
2026-03-09 02:25:00,VIC1,69.50543
2026-03-09 02:30:00,VIC1,63.35067
2026-03-09 02:35:00,VIC1,61.20835
2026-03-09 02:40:00,VIC1,67.00523
2026-03-09 02:45:00,VIC1,64.17969
2026-03-09 02:50:00,VIC1,58.94218
2026-03-09 02:55:00,VIC1,55.10115
2026-03-09 03:00:00,VIC1,72.69
2026-03-09 03:05:00,VIC1,67.06793
2026-03-09 03:10:00,VIC1,81.53242
2026-03-09 03:15:00,VIC1,65.6217
2026-03-09 03:20:00,VIC1,61.14247
2026-03-09 03:25:00,VIC1,62.08247
2026-03-09 03:30:00,VIC1,62.76589
2026-03-09 03:35:00,VIC1,79.40299
2026-03-09 03:40:00,VIC1,64.9751
2026-03-09 03:45:00,VIC1,77.46865
2026-03-09 03:50:00,VIC1,65.81238
2026-03-09 03:55:00,VIC1,72.67
2026-03-09 04:00:00,VIC1,76.16451
2026-03-09 04:05:00,VIC1,63.34467
2026-03-09 04:10:00,VIC1,77.43231
2026-03-09 04:15:00,VIC1,63.89692
2026-03-09 04:20:00,VIC1,72.69
2026-03-09 04:25:00,VIC1,76.79443
2026-03-09 04:30:00,VIC1,68.48874
2026-03-09 04:35:00,VIC1,74.37414
2026-03-09 04:40:00,VIC1,74.02
2026-03-09 04:45:00,VIC1,76.80265
2026-03-09 04:50:00,VIC1,61.58258
2026-03-09 04:55:00,VIC1,77.82443
2026-03-09 05:00:00,VIC1,76.05849
2026-03-09 05:05:00,VIC1,72.67
2026-03-09 05:10:00,VIC1,74.68767
2026-03-09 05:15:00,VIC1,65.76995
2026-03-09 05:20:00,VIC1,87.18
2026-03-09 05:25:00,VIC1,69.91483
2026-03-09 05:30:00,VIC1,74.68
2026-03-09 05:35:00,VIC1,72.69
2026-03-09 05:40:00,VIC1,73.44
2026-03-09 05:45:00,VIC1,72.67
2026-03-09 05:50:00,VIC1,72.69
2026-03-09 05:55:00,VIC1,72.67
2026-03-09 06:00:00,VIC1,55.96
2026-03-09 06:05:00,VIC1,55.96
2026-03-09 06:10:00,VIC1,62.56342
2026-03-09 06:15:00,VIC1,54.69
2026-03-09 06:20:00,VIC1,55.96
2026-03-09 06:25:00,VIC1,55.96
2026-03-09 06:30:00,VIC1,84.29305
2026-03-09 06:35:00,VIC1,73.44
2026-03-09 06:40:00,VIC1,68.73238
2026-03-09 06:45:00,VIC1,69.05878
2026-03-09 06:50:00,VIC1,74.02
2026-03-09 06:55:00,VIC1,63.81947
2026-03-09 07:00:00,VIC1,56.5
2026-03-09 07:05:00,VIC1,56.5
2026-03-09 07:10:00,VIC1,53.64089
2026-03-09 07:15:00,VIC1,47.83121
2026-03-09 07:20:00,VIC1,26.64262
2026-03-09 07:25:00,VIC1,28.44025
2026-03-09 07:30:00,VIC1,-4.26
2026-03-09 07:35:00,VIC1,-51.73
2026-03-09 07:40:00,VIC1,-7.25
2026-03-09 07:45:00,VIC1,-8.49958
2026-03-09 07:50:00,VIC1,-18.90286
2026-03-09 07:55:00,VIC1,-18.85312
2026-03-09 08:00:00,VIC1,-14.04007
2026-03-09 08:05:00,VIC1,-38.67
2026-03-09 08:10:00,VIC1,-20.37
2026-03-09 08:15:00,VIC1,-18.37522
2026-03-09 08:20:00,VIC1,-7.25
2026-03-09 08:25:00,VIC1,-38.67
2026-03-09 08:30:00,VIC1,-7.26
2026-03-09 08:35:00,VIC1,-13.4
2026-03-09 08:40:00,VIC1,-12.67
2026-03-09 08:45:00,VIC1,-13.4
2026-03-09 08:50:00,VIC1,-12.99819
2026-03-09 08:55:00,VIC1,-13.4
2026-03-09 09:00:00,VIC1,-9.98
2026-03-09 09:05:00,VIC1,-11.76
2026-03-09 09:10:00,VIC1,-13.4
2026-03-09 09:15:00,VIC1,-9.98
2026-03-09 09:20:00,VIC1,-12.67
2026-03-09 09:25:00,VIC1,-14.1
2026-03-09 09:30:00,VIC1,-13.4
2026-03-09 09:35:00,VIC1,-13.4
2026-03-09 09:40:00,VIC1,-13.4
2026-03-09 09:45:00,VIC1,-13.4
2026-03-09 09:50:00,VIC1,-13.4
2026-03-09 09:55:00,VIC1,-12.67
2026-03-09 10:00:00,VIC1,-13.4
2026-03-09 10:05:00,VIC1,-13.4
2026-03-09 10:10:00,VIC1,-12.67
2026-03-09 10:15:00,VIC1,-12.67
2026-03-09 10:20:00,VIC1,-12.67
2026-03-09 10:25:00,VIC1,-13.4
2026-03-09 10:30:00,VIC1,-14.1
2026-03-09 10:35:00,VIC1,-14.1
2026-03-09 10:40:00,VIC1,-18.17
2026-03-09 10:45:00,VIC1,-13.25
2026-03-09 10:50:00,VIC1,-14.1
2026-03-09 10:55:00,VIC1,-16.67
2026-03-09 11:00:00,VIC1,-12.67
2026-03-09 11:05:00,VIC1,-13.25
2026-03-09 11:10:00,VIC1,-13.25
2026-03-09 11:15:00,VIC1,-16.7
2026-03-09 11:20:00,VIC1,-13.28637
2026-03-09 11:25:00,VIC1,-13.18436
2026-03-09 11:30:00,VIC1,-13.64073
2026-03-09 11:35:00,VIC1,-19.07682
2026-03-09 11:40:00,VIC1,-18.17
2026-03-09 11:45:00,VIC1,-13.25
2026-03-09 11:50:00,VIC1,-35.45937
2026-03-09 11:55:00,VIC1,-39.48
2026-03-09 12:00:00,VIC1,-18.39796
2026-03-09 12:05:00,VIC1,-38.67
2026-03-09 12:10:00,VIC1,-39.48
2026-03-09 12:15:00,VIC1,-15.96818
2026-03-09 12:20:00,VIC1,-13.78877
2026-03-09 12:25:00,VIC1,-13.4
2026-03-09 12:30:00,VIC1,-38.67
2026-03-09 12:35:00,VIC1,-49.51702
2026-03-09 12:40:00,VIC1,-36.26
2026-03-09 12:45:00,VIC1,-9.98
2026-03-09 12:50:00,VIC1,-34.66
2026-03-09 12:55:00,VIC1,-14.1
2026-03-09 13:00:00,VIC1,-20.37
2026-03-09 13:05:00,VIC1,-14.1
2026-03-09 13:10:00,VIC1,-34.1
2026-03-09 13:15:00,VIC1,-14.1
2026-03-09 13:20:00,VIC1,-34.1
2026-03-09 13:25:00,VIC1,-19.99
2026-03-09 13:30:00,VIC1,-20.37
2026-03-09 13:35:00,VIC1,-20.37
2026-03-09 13:40:00,VIC1,-7.70393
2026-03-09 13:45:00,VIC1,-14.1
2026-03-09 13:50:00,VIC1,-13.25
2026-03-09 13:55:00,VIC1,-13.4
2026-03-09 14:00:00,VIC1,-4.26
2026-03-09 14:05:00,VIC1,-3.93
2026-03-09 14:10:00,VIC1,-3.49
2026-03-09 14:15:00,VIC1,-0.1
2026-03-09 14:20:00,VIC1,-2.5
2026-03-09 14:25:00,VIC1,-3.49
2026-03-09 14:30:00,VIC1,0.01
2026-03-09 14:35:00,VIC1,0.00071
2026-03-09 14:40:00,VIC1,2.39
2026-03-09 14:45:00,VIC1,6e-05
2026-03-09 14:50:00,VIC1,-0.0497
2026-03-09 14:55:00,VIC1,4.5
2026-03-09 15:00:00,VIC1,-0.1
2026-03-09 15:05:00,VIC1,-3.49
2026-03-09 15:10:00,VIC1,-3.49
2026-03-09 15:15:00,VIC1,4.5
2026-03-09 15:20:00,VIC1,-0.1
2026-03-09 15:25:00,VIC1,-3.49
2026-03-09 15:30:00,VIC1,-1.43675
2026-03-09 15:35:00,VIC1,-0.1
2026-03-09 15:40:00,VIC1,-2.5
2026-03-09 15:45:00,VIC1,-2.5
2026-03-09 15:50:00,VIC1,-2.5
2026-03-09 15:55:00,VIC1,-0.1
2026-03-09 16:00:00,VIC1,-0.1
2026-03-09 16:05:00,VIC1,-0.1
2026-03-09 16:10:00,VIC1,-0.1
2026-03-09 16:15:00,VIC1,-0.0497
2026-03-09 16:20:00,VIC1,0.00052
2026-03-09 16:25:00,VIC1,0.0001
2026-03-09 16:30:00,VIC1,-0.1
2026-03-09 16:35:00,VIC1,-4.11
2026-03-09 16:40:00,VIC1,-4.11
2026-03-09 16:45:00,VIC1,-2.5
2026-03-09 16:50:00,VIC1,-4.11
2026-03-09 16:55:00,VIC1,-0.1
2026-03-09 17:00:00,VIC1,-0.26641
2026-03-09 17:05:00,VIC1,-4.26
2026-03-09 17:10:00,VIC1,-4.75
2026-03-09 17:15:00,VIC1,-4.25
2026-03-09 17:20:00,VIC1,-4.26
2026-03-09 17:25:00,VIC1,-0.1
2026-03-09 17:30:00,VIC1,-1.23519
2026-03-09 17:35:00,VIC1,-0.1
2026-03-09 17:40:00,VIC1,-0.1
2026-03-09 17:45:00,VIC1,3.67998
2026-03-09 17:50:00,VIC1,20.0
2026-03-09 17:55:00,VIC1,90.86108
2026-03-09 18:00:00,VIC1,85.7453
2026-03-09 18:05:00,VIC1,85.29839
2026-03-09 18:10:00,VIC1,74.02
2026-03-09 18:15:00,VIC1,74.02
2026-03-09 18:20:00,VIC1,74.02
2026-03-09 18:25:00,VIC1,74.02
2026-03-09 18:30:00,VIC1,74.02
2026-03-09 18:35:00,VIC1,85.65993
2026-03-09 18:40:00,VIC1,74.68
2026-03-09 18:45:00,VIC1,92.90471
2026-03-09 18:50:00,VIC1,84.43123
2026-03-09 18:55:00,VIC1,94.65692
2026-03-09 19:00:00,VIC1,90.71
2026-03-09 19:05:00,VIC1,82.23295
2026-03-09 19:10:00,VIC1,90.54751
2026-03-09 19:15:00,VIC1,85.26577
2026-03-09 19:20:00,VIC1,93.21878
2026-03-09 19:25:00,VIC1,84.72343
2026-03-09 19:30:00,VIC1,91.46811
2026-03-09 19:35:00,VIC1,92.94603
2026-03-09 19:40:00,VIC1,74.68
2026-03-09 19:45:00,VIC1,82.56617
2026-03-09 19:50:00,VIC1,86.06063
2026-03-09 19:55:00,VIC1,82.02703
2026-03-09 20:00:00,VIC1,86.65305
2026-03-09 20:05:00,VIC1,91.32803
2026-03-09 20:10:00,VIC1,86.51778
2026-03-09 20:15:00,VIC1,91.57007
2026-03-09 20:20:00,VIC1,74.73
2026-03-09 20:25:00,VIC1,85.46439
2026-03-09 20:30:00,VIC1,74.43313
2026-03-09 20:35:00,VIC1,91.15715
2026-03-09 20:40:00,VIC1,94.17129
2026-03-09 20:45:00,VIC1,86.02182
2026-03-09 20:50:00,VIC1,88.48898
2026-03-09 20:55:00,VIC1,86.05065
2026-03-09 21:00:00,VIC1,86.64053
2026-03-09 21:05:00,VIC1,71.63654
2026-03-09 21:10:00,VIC1,85.6608
