0,1,2,3,4,5,6,7,8,9
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/18,08:00:17,0000000508413330,DEMAND,0000000508413328
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,2026/03/18 07:30:00,NSW1,762.819,0.6,SATELLITE,2026/03/18 07:50:18
D,ROOFTOP,ACTUAL,2,2026/03/18 07:30:00,QLD1,1244.868,0.6,SATELLITE,2026/03/18 07:50:18
D,ROOFTOP,ACTUAL,2,2026/03/18 07:30:00,SA1,80.056,0.6,SATELLITE,2026/03/18 07:50:18
D,ROOFTOP,ACTUAL,2,2026/03/18 07:30:00,TAS1,39.881,0.6,SATELLITE,2026/03/18 07:50:18
D,ROOFTOP,ACTUAL,2,2026/03/18 07:30:00,VIC1,495.211,0.6,SATELLITE,2026/03/18 07:50:18
C,END OF REPORT,8,,,,,,,
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/18,17:00:16,0000000508478526,DEMAND,0000000508478524
D,ROOFTOP,ACTUAL,2,2026/03/18 16:30:00,NSW1,919.52,0.6,SATELLITE,2026/03/18 16:50:21
D,ROOFTOP,ACTUAL,2,2026/03/18 16:30:00,QLD1,1148.519,0.6,SATELLITE,2026/03/18 16:50:21
D,ROOFTOP,ACTUAL,2,2026/03/18 16:30:00,SA1,445.446,0.6,SATELLITE,2026/03/18 16:50:21
D,ROOFTOP,ACTUAL,2,2026/03/18 16:30:00,TAS1,103.607,0.6,SATELLITE,2026/03/18 16:50:21
D,ROOFTOP,ACTUAL,2,2026/03/18 16:30:00,VIC1,1123.373,0.6,SATELLITE,2026/03/18 16:50:21
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/07,23:30:18,0000000506813271,DEMAND,0000000506813269
D,ROOFTOP,ACTUAL,2,2026/03/07 23:00:00,NSW1,0,0.6,SATELLITE,2026/03/07 23:20:19
D,ROOFTOP,ACTUAL,2,2026/03/07 23:00:00,QLD1,0,0.6,SATELLITE,2026/03/07 23:20:19
D,ROOFTOP,ACTUAL,2,2026/03/07 23:00:00,SA1,0,0.6,SATELLITE,2026/03/07 23:20:19
D,ROOFTOP,ACTUAL,2,2026/03/07 23:00:00,TAS1,0,0.6,SATELLITE,2026/03/07 23:20:19
D,ROOFTOP,ACTUAL,2,2026/03/07 23:00:00,VIC1,0,0.6,SATELLITE,2026/03/07 23:20:19
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/07,03:30:17,0000000506686610,DEMAND,0000000506686608
D,ROOFTOP,ACTUAL,2,2026/03/07 03:00:00,NSW1,0,0.6,SATELLITE,2026/03/07 03:20:23
D,ROOFTOP,ACTUAL,2,2026/03/07 03:00:00,QLD1,0,0.6,SATELLITE,2026/03/07 03:20:23
D,ROOFTOP,ACTUAL,2,2026/03/07 03:00:00,SA1,0,0.6,SATELLITE,2026/03/07 03:20:23
D,ROOFTOP,ACTUAL,2,2026/03/07 03:00:00,TAS1,0,0.6,SATELLITE,2026/03/07 03:20:23
D,ROOFTOP,ACTUAL,2,2026/03/07 03:00:00,VIC1,0,0.6,SATELLITE,2026/03/07 03:20:23
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/17,16:00:18,0000000508320906,DEMAND,0000000508320904
D,ROOFTOP,ACTUAL,2,2026/03/17 15:30:00,NSW1,1549.09,0.6,SATELLITE,2026/03/17 15:50:18
D,ROOFTOP,ACTUAL,2,2026/03/17 15:30:00,QLD1,2657.888,0.6,SATELLITE,2026/03/17 15:50:18
D,ROOFTOP,ACTUAL,2,2026/03/17 15:30:00,SA1,660.639,0.6,SATELLITE,2026/03/17 15:50:18
D,ROOFTOP,ACTUAL,2,2026/03/17 15:30:00,TAS1,134.329,0.6,SATELLITE,2026/03/17 15:50:18
D,ROOFTOP,ACTUAL,2,2026/03/17 15:30:00,VIC1,1163.683,0.6,SATELLITE,2026/03/17 15:50:18
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/18,18:00:09,0000000508485773,DEMAND,0000000508485771
D,ROOFTOP,ACTUAL,2,2026/03/18 17:30:00,NSW1,358.374,0.6,SATELLITE,2026/03/18 17:50:21
D,ROOFTOP,ACTUAL,2,2026/03/18 17:30:00,QLD1,392.877,0.6,SATELLITE,2026/03/18 17:50:21
D,ROOFTOP,ACTUAL,2,2026/03/18 17:30:00,SA1,279.872,0.6,SATELLITE,2026/03/18 17:50:21
D,ROOFTOP,ACTUAL,2,2026/03/18 17:30:00,TAS1,43.844,0.6,SATELLITE,2026/03/18 17:50:21
D,ROOFTOP,ACTUAL,2,2026/03/18 17:30:00,VIC1,523.1,0.6,SATELLITE,2026/03/18 17:50:21
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/18,23:00:23,0000000508519821,DEMAND,0000000508519819
D,ROOFTOP,ACTUAL,2,2026/03/18 22:30:00,NSW1,0,0.6,SATELLITE,2026/03/18 22:50:25
D,ROOFTOP,ACTUAL,2,2026/03/18 22:30:00,QLD1,0,0.6,SATELLITE,2026/03/18 22:50:25
D,ROOFTOP,ACTUAL,2,2026/03/18 22:30:00,SA1,0,0.6,SATELLITE,2026/03/18 22:50:25
D,ROOFTOP,ACTUAL,2,2026/03/18 22:30:00,TAS1,0,0.6,SATELLITE,2026/03/18 22:50:25
D,ROOFTOP,ACTUAL,2,2026/03/18 22:30:00,VIC1,0,0.6,SATELLITE,2026/03/18 22:50:25
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/08,17:00:17,0000000506923842,DEMAND,0000000506923840
D,ROOFTOP,ACTUAL,2,2026/03/08 16:30:00,NSW1,1060.747,0.6,SATELLITE,2026/03/08 16:50:18
D,ROOFTOP,ACTUAL,2,2026/03/08 16:30:00,QLD1,695.791,0.6,SATELLITE,2026/03/08 16:50:18
D,ROOFTOP,ACTUAL,2,2026/03/08 16:30:00,SA1,1244.205,0.6,SATELLITE,2026/03/08 16:50:18
D,ROOFTOP,ACTUAL,2,2026/03/08 16:30:00,TAS1,106.644,0.6,SATELLITE,2026/03/08 16:50:18
D,ROOFTOP,ACTUAL,2,2026/03/08 16:30:00,VIC1,1607.116,0.6,SATELLITE,2026/03/08 16:50:18
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/15,03:30:16,0000000507923696,DEMAND,0000000507923694
D,ROOFTOP,ACTUAL,2,2026/03/15 03:00:00,NSW1,0,0.6,SATELLITE,2026/03/15 03:20:20
D,ROOFTOP,ACTUAL,2,2026/03/15 03:00:00,QLD1,0,0.6,SATELLITE,2026/03/15 03:20:20
D,ROOFTOP,ACTUAL,2,2026/03/15 03:00:00,SA1,0,0.6,SATELLITE,2026/03/15 03:20:20
