SETTLEMENTDATE,REGIONID,PV_MW
2026-03-09 00:00:00,VIC1,0.0
2026-03-09 00:30:00,VIC1,0.0
2026-03-09 01:00:00,VIC1,0.0
2026-03-09 01:30:00,VIC1,0.0
2026-03-09 02:00:00,VIC1,0.0
2026-03-09 02:30:00,VIC1,0.0
2026-03-09 03:00:00,VIC1,0.0
2026-03-09 03:30:00,VIC1,0.0
2026-03-09 04:00:00,VIC1,0.0
2026-03-09 04:30:00,VIC1,0.0
2026-03-09 05:00:00,VIC1,0.0
2026-03-09 05:30:00,VIC1,0.0
2026-03-09 06:00:00,VIC1,0.0
2026-03-09 06:30:00,VIC1,75.347
2026-03-09 07:00:00,VIC1,332.289
2026-03-09 07:30:00,VIC1,729.339
2026-03-09 08:00:00,VIC1,1181.132
2026-03-09 08:30:00,VIC1,1666.704
2026-03-09 09:00:00,VIC1,2134.493
2026-03-09 09:30:00,VIC1,2548.374
2026-03-09 10:00:00,VIC1,2926.851
2026-03-09 10:30:00,VIC1,3249.929
2026-03-09 11:00:00,VIC1,3493.104
2026-03-09 11:30:00,VIC1,3639.161
2026-03-09 12:00:00,VIC1,3692.904
2026-03-09 12:30:00,VIC1,3614.557
2026-03-09 13:00:00,VIC1,3519.37
2026-03-09 13:30:00,VIC1,3279.79
2026-03-09 14:00:00,VIC1,3027.31
2026-03-09 14:30:00,VIC1,2788.031
2026-03-09 15:00:00,VIC1,2631.942
2026-03-09 15:30:00,VIC1,2420.453
2026-03-09 16:00:00,VIC1,2025.115
2026-03-09 16:30:00,VIC1,1670.443
2026-03-09 17:00:00,VIC1,1296.262
2026-03-09 17:30:00,VIC1,892.9
2026-03-09 18:00:00,VIC1,494.722
2026-03-09 18:30:00,VIC1,171.955
2026-03-09 19:00:00,VIC1,15.189
2026-03-09 19:30:00,VIC1,0.0
2026-03-09 20:00:00,VIC1,0.0
2026-03-09 20:30:00,VIC1,0.0
2026-03-09 21:00:00,VIC1,0.0
2026-03-09 21:30:00,VIC1,0.0
2026-03-09 22:00:00,VIC1,0.0
2026-03-09 22:30:00,VIC1,0.0
2026-03-09 23:00:00,VIC1,0.0
2026-03-09 23:30:00,VIC1,0.0
2026-03-10 00:00:00,VIC1,0.0
