SETTLEMENTDATE,REGIONID,PV_MW
2026-03-16 00:00:00,VIC1,0.0
2026-03-16 00:30:00,VIC1,0.0
2026-03-16 01:00:00,VIC1,0.0
2026-03-16 01:30:00,VIC1,0.0
2026-03-16 02:00:00,VIC1,0.0
2026-03-16 02:30:00,VIC1,0.0
2026-03-16 03:00:00,VIC1,0.0
2026-03-16 03:30:00,VIC1,0.0
2026-03-16 04:00:00,VIC1,0.0
2026-03-16 04:30:00,VIC1,0.0
2026-03-16 05:00:00,VIC1,0.0
2026-03-16 05:30:00,VIC1,0.0
2026-03-16 06:00:00,VIC1,0.0
2026-03-16 06:30:00,VIC1,9.916
2026-03-16 07:00:00,VIC1,60.811
2026-03-16 07:30:00,VIC1,210.026
2026-03-16 08:00:00,VIC1,291.621
2026-03-16 08:30:00,VIC1,406.3
2026-03-16 09:00:00,VIC1,450.875
2026-03-16 09:30:00,VIC1,502.982
2026-03-16 10:00:00,VIC1,579.77
2026-03-16 10:30:00,VIC1,667.174
2026-03-16 11:00:00,VIC1,706.959
2026-03-16 11:30:00,VIC1,742.745
2026-03-16 12:00:00,VIC1,777.104
2026-03-16 12:30:00,VIC1,800.956
2026-03-16 13:00:00,VIC1,817.948
2026-03-16 13:30:00,VIC1,879.117
2026-03-16 14:00:00,VIC1,858.048
2026-03-16 14:30:00,VIC1,804.755
2026-03-16 15:00:00,VIC1,645.801
2026-03-16 15:30:00,VIC1,516.023
2026-03-16 16:00:00,VIC1,394.288
2026-03-16 16:30:00,VIC1,300.858
2026-03-16 17:00:00,VIC1,222.799
2026-03-16 17:30:00,VIC1,170.593
2026-03-16 18:00:00,VIC1,113.742
2026-03-16 18:30:00,VIC1,42.117
2026-03-16 19:00:00,VIC1,0.394
2026-03-16 19:30:00,VIC1,0.0
2026-03-16 20:00:00,VIC1,0.0
2026-03-16 20:30:00,VIC1,0.0
2026-03-16 21:00:00,VIC1,0.0
2026-03-16 21:30:00,VIC1,0.0
2026-03-16 22:00:00,VIC1,0.0
2026-03-16 22:30:00,VIC1,0.0
2026-03-16 23:00:00,VIC1,0.0
2026-03-16 23:30:00,VIC1,0.0
