C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/13,04:05:02,0000000507611794,,0000000507611788
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,RAISE1SECLOCALDISPATCH,LOWER1SECLOCALDISPATCH
D,DREGION,,2,"2026/03/12 19:10:00",1,NSW1,0,76.99,0,76.99,0,0,9204.29,-25,9127.73,0,-76.56,0,,,69,,,,,,,,69,,,,,,,,64,,,,,,,,63,,,,,,,,55,,,,,,,,48,,,,,,0.78261,13629.51052,590,9261.93528,9238.45,,42,,,,103,,,,,,,,,,,,,,,,,,,0.05,0.05,0,0.04,0.04,0,0.04,0.04,0,3.47,3.47,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,1.99,1.99,0,0,0,0,0.02,0.02,0,43,0
D,DREGION,,2,"2026/03/12 19:10:00",1,QLD1,0,111.11,0,111.11,0,0,8945.86,-33,8636.35,0,-309.51,0,,,96.4,,,,,,,,80,,,,,,,,50.47,,,,,,,,74.37,,,,,,,,183,,,,,,,,183,,,,,,17.57985,12041.05538,1823,8970.35908,8956.04,,54,,,,47,,,,,,,,,,,,,,,,,,,0.05,0.05,0,0.04,0.04,0,0.04,0.04,0,3.47,3.47,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,1.99,1.99,0,0,0,0,0.02,0.02,0,70,0
D,DREGION,,2,"2026/03/12 19:10:00",1,SA1,0,8.81863,0,8.81863,0,0,1555.29,2,1550.32,0,-4.97,0,,,62,,,,,,,,67,,,,,,,,63,,,,,,,,89,,,,,,,,91.47,,,,,,,,98,,,,,,-1.10866,3455.31875,778,1556.19539,1555.28,,21,,,,20,,,,,,,,,,,,,,,,,,,0.05,0.05,0,0.04,0.04,0,0.04,0.04,0,3.47,3.47,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,1.99,1.99,0,0,0,0,0.02,0.02,0,24,29
D,DREGION,,2,"2026/03/12 19:10:00",1,TAS1,0,83.36137,0,83.36137,0,0,1036.61,-2,933.4,0,-103.21,0,,,0,,,,,,,,51.01,,,,,,,,51.01,,,,,,,,0,,,,,,,,35,,,,,,,,35,,,,,,-0.86151,2120.94107,0,1039.46997,1036.61,,50,,,,50,,,,,,,,,,,,,,,,,,,0.36,0.36,0,0.36,0.36,0,0.04,0.04,0,4.76,4.76,0,0.38,0.38,0,0.38,0.38,0,0.03,0.03,0,0.94,0.94,0,0,0,0,0.02,0.02,0,0,0
D,DREGION,,2,"2026/03/12 19:10:00",1,VIC1,0,8.95014,0,8.95014,0,0,5679.59,-7,6242.96,0,563.38,0,,,61,,,,,,,,142.48,,,,,,,,54,,,,,,,,259,,,,,,,,252,,,,,,,,195.32,,,,,,49.38482,10809.18571,761,5667.95621,5704.38,,43,,,,0,,,,,,,,,,,,,,,,,,,0.05,0.05,0,0.04,0.04,0,0.04,0.04,0,3.47,3.47,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,1.99,1.99,0,0,0,0,0.02,0.02,0,115.35,2
D,DREGION,,2,"2026/03/12 22:30:00",1,NSW1,0,63.42456,0,63.42456,0,0,7812.81,-41,7179.73,17,-650.09,0,,,86,,,,,,,,71,,,,,,,,71,,,,,,,,75,,,,,,,,65,,,,,,,,58,,,,,,-12.68396,13046.57411,878,7946.04988,7892.17,,52,,,,72.88,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.04,0.04,0,0.03,0.03,0,3.47,3.47,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,3.4,3.4,0,0,0,0,0.03,0.03,0,42,27
D,DREGION,,2,"2026/03/12 22:30:00",1,QLD1,0,77.73,0,77.73,0,0,7244.75,-51,6925.82,24,-342.93,0,,,98.85,,,,,,,,120,,,,,,,,109.67,,,,,,,,110,,,,,,,,180.41,,,,,,,,172.41,,,,,,-41.16282,10317.82793,1820,7353.42967,7275.81,,55,,,,13,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.04,0.04,0,0.03,0.03,0,3.47,3.47,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,3.4,3.4,0,0,0,0,0.03,0.03,0,105.1,0
D,DREGION,,2,"2026/03/12 22:30:00",1,SA1,0,11.21132,0,11.21132,0,0,1390.37,-2,1944.8,0,554.43,0,,,63,,,,,,,,71,,,,,,,,24,,,,,,,,57.14,,,,,,,,96,,,,,,,,95,,,,,,-12.63834,3624.80038,821,1415.81267,1399.26,,1,,,,50,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.04,0.04,0,0.03,0.03,0,3.47,3.47,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,3.4,3.4,0,0,0,0,0.03,0.03,0,28,32
D,DREGION,,2,"2026/03/12 22:30:00",1,TAS1,0,83.5583,0,83.5583,0,0,874.47,-5,805.35,0,-69.12,0,,,0,,,,,,,,84.39,,,,,,,,84.39,,,,,,,,0,,,,,,,,35,,,,,,,,35,,,,,,-5.30243,2050.3474,0,884.76807,874.47,,50,,,,50,,,,,,,,,,,,,,,,,,,0.36,0.36,0,0.36,0.36,0,0,0,0,3.76,3.76,0,0.38,0.38,0,0.38,0.38,0,0.01,0.01,0,0.94,0.94,0,0,0,0,0.03,0.03,0,0,0
D,DREGION,,2,"2026/03/12 22:30:00",1,VIC1,0,12.71,0,12.71,0,0,4584.81,-16,5343.28,25,733.47,0,,,41,,,,,,,,78.84,,,,,,,,31,,,,,,,,192,,,,,,,,220,,,,,,,,236,,,,,,-34.15277,9759.47404,971,4786.9379,4757.27,,52,,,,65,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.04,0.04,0,0.03,0.03,0,3.47,3.47,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,3.4,3.4,0,0,0,0,0.03,0.03,0,108,0
D,DREGION,,2,"2026/03/13 01:00:00",1,NSW1,0,84.79,0,84.79,0,0,6795.13,-38,6097.47,20,-717.67,0,,,87,,,,,,,,72,,,,,,,,72,,,,,,,,101,,,,,,,,91,,,,,,,,95,,,,,,0,12976.72641,879,6878.48688,6860.04,,0,,,,60,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.03,0.03,0,0.03,0.03,0,1.5,1.5,0,0.02,0.02,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,67,0.22
D,DREGION,,2,"2026/03/13 01:00:00",1,QLD1,0,89.94493,0,89.94493,0,0,6304.48,-14,6055.23,0,-249.24,0,,,40,,,,,,,,120,,,,,,,,120,,,,,,,,110,,,,,,,,130,,,,,,,,198.02,,,,,,0,10065.72669,1821,6322.32668,6307.44,,192.88,,,,0,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.03,0.03,0,0.03,0.03,0,1.5,1.5,0,0.02,0.02,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,70,0
D,DREGION,,2,"2026/03/13 01:00:00",1,SA1,0,8.12733,0,8.12733,0,0,1475.56,0,1967.63,5,487.08,0,,,21,,,,,,,,71,,,,,,,,69,,,,,,,,59,,,,,,,,75,,,,,,,,94,,,,,,0,3667.07978,824,1485.52098,1487.47,,11,,,,50,,,,,,,,,,,,,,,,,,,0.04,0.04,0,0.03,0.03,0,0.03,0.03,0,1.5,1.5,0,0.02,0.02,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,44.28,0
D,DREGION,,2,"2026/03/13 01:00:00",1,TAS1,0,83.37122,0,83.37122,0,0,837.88,-1,736.96,0,-100.92,0,,,0,,,,,,,,51.33,,,,,,,,51.33,,,,,,,,0,,,,,,,,35,,,,,,,,35,,,,,,-5.52301,2028.95975,0,844.40735,837.88,,50,,,,50,,,,,,,,,,,,,,,,,,,0.36,0.36,0,0.36,0.36,0,0.03,0.03,0,4.76,4.76,0,0.38,0.38,0,0.38,0.38,0,0,0,0,1.94,1.94,0,0,0,0,0.03,0.03,0,0,0
