C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/16,04:05:03,0000000508079305,,0000000508079299
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,RAISE1SECLOCALDISPATCH,LOWER1SECLOCALDISPATCH
D,DREGION,,2,"2026/03/15 14:55:00",1,NSW1,0,70.74052,0,70.74052,0,0,5319.17,72,5875.08,233,322.92,0,,,69,,,,,,,,69,,,,,,,,69,,,,,,,,79,,,,,,,,113,,,,,,,,84.75,,,,,,0,16324.56288,368,5516.70156,5549.42,,38,,,,0.23,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,6.4,6.4,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,0.7,0.7,0,0,0,0,0.01,0.01,0,82.7,7.4
D,DREGION,,2,"2026/03/15 14:55:00",1,QLD1,0,71.69,0,71.69,0,0,5512.04,48,6010.59,484,14.54,0,,,185.87,,,,,,,,121,,,,,,,,99.75,,,,,,,,45,,,,,,,,125,,,,,,,,55,,,,,,0,11717.82861,1010,5976.77105,5997.21,,25,,,,18,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,6.4,6.4,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,0.7,0.7,0,0,0,0,0.01,0.01,0,4,0
D,DREGION,,2,"2026/03/15 14:55:00",1,SA1,0,-3.9998,0,-3.9998,0,0,624.84,20,448.85,181,-356.99,0,,,32,,,,,,,,63,,,,,,,,63,,,,,,,,64.05,,,,,,,,43.98,,,,,,,,65,,,,,,0,2872.86767,519,792.83077,808.23,,1,,,,32.77,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,6.4,6.4,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,0.7,0.7,0,0,0,0,0.01,0.01,0,26,0
D,DREGION,,2,"2026/03/15 14:55:00",1,TAS1,0,83.44764,0,83.44764,0,0,792.3,3,683.04,0,-109.27,0,,,0,,,,,,,,42.93,,,,,,,,42.93,,,,,,,,0,,,,,,,,35,,,,,,,,35,,,,,,4.04506,1708.03574,0,785.25574,792.3,,50,,,,50,,,,,,,,,,,,,,,,,,,0.38,0.38,0,0.36,0.36,0,0.01,0.01,0,4.73,4.73,0,0.38,0.38,0,0.38,0.38,0,0.03,0.03,0,0.98,0.98,0,0,0,0,0.01,0.01,0,0,0
D,DREGION,,2,"2026/03/15 14:55:00",1,VIC1,0,-4.75,0,-4.75,0,0,3647.03,51,3841.51,53,141.49,0,,,1,,,,,,,,110.85,,,,,,,,2,,,,,,,,128,,,,,,,,128,,,,,,,,138,,,,,,0,10265.17278,347,3693.24929,3711.9,,96,,,,119,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,6.4,6.4,0,0.01,0.01,0,0.03,0.03,0,0.03,0.03,0,0.7,0.7,0,0,0,0,0.01,0.01,0,5.17,2
D,DREGION,,2,"2026/03/15 15:00:00",1,NSW1,0,0.51,0,0.51,0,0,5337.4,78,5777.14,271,168.75,0,,,5,,,,,,,,5,,,,,,,,5,,,,,,,,85.14,,,,,,,,118,,,,,,,,69,,,,,,13.58036,16400.72943,395,5480.48018,5605.61,,68,,,,24,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,7.52,7.52,0,0.03,0.03,0,0.04,0.04,0,0.03,0.03,0,8,8,0,0,0,0,0.01,0.01,0,108,0
D,DREGION,,2,"2026/03/15 15:00:00",1,QLD1,0,0.51447,0,0.51447,0,0,5397.5,58,5882.73,509,-23.77,0,,,178,,,,,,,,134.58,,,,,,,,109,,,,,,,,45,,,,,,,,115,,,,,,,,115,,,,,,11.9275,11759.41172,1007,5821.91632,5906.55,,68,,,,5,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,7.52,7.52,0,0.03,0.03,0,0.04,0.04,0,0.03,0.03,0,8,8,0,0,0,0,0.01,0.01,0,4,0
D,DREGION,,2,"2026/03/15 15:00:00",1,SA1,0,-3.20567,0,-3.20567,0,0,612.3,19,516.4,155,-250.9,0,,,33,,,,,,,,83,,,,,,,,63,,,,,,,,65,,,,,,,,59.68,,,,,,,,44.51,,,,,,-12.09668,2885.6388,527,787.83278,769.54,,1,,,,50,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,7.52,7.52,0,0.03,0.03,0,0.04,0.04,0,0.03,0.03,0,8,8,0,0,0,0,0.01,0.01,0,26,7.43
D,DREGION,,2,"2026/03/15 15:00:00",1,TAS1,0,85.00365,0,85.00365,0,0,793.86,4,687.58,0,-106.29,0,,,0,,,,,,,,45.89,,,,,,,,45.89,,,,,,,,0,,,,,,,,35,,,,,,,,35,,,,,,3.2533,1712.57536,0,786.60883,793.86,,50,,,,50,,,,,,,,,,,,,,,,,,,0.38,0.38,0,0.38,0.38,0,0.01,0.01,0,4.73,4.73,0,0.38,0.38,0,0.38,0.38,0,0.03,0.03,0,0.98,0.98,0,0,0,0,0.01,0.01,0,0,0
D,DREGION,,2,"2026/03/15 15:00:00",1,VIC1,0,-3.25,0,-3.25,0,0,3793.82,54,4093.74,73,226.92,0,,,72.93,,,,,,,,140,,,,,,,,56.34,,,,,,,,131,,,,,,,,128,,,,,,,,138,,,,,,-10.09849,10274.32807,369,3821.10458,3882.02,,23,,,,91,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,7.52,7.52,0,0.03,0.03,0,0.04,0.04,0,0.03,0.03,0,8,8,0,0,0,0,0.01,0.01,0,6.81,2
